"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",955210,830.8396834204,3304262,61,548211,401924,5075,279
"mezczyzni",695884,754.774065792575,3304262,61,418127,275639,2118,133
"kobiety",212896,850.116521681948,2156412,61,114134,97687,1075,60
"niezdefiniowane",46430,1882.50637518846,2434151,61,15950,28598,1882,86
