"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1240596,784.629906915708,1952746,61,702581,532012,6003,220
"mezczyzni",904522,720.240511563013,1952746,61,537343,364505,2674,116
"kobiety",279106,821.077737490416,1334727,61,145300,132462,1344,49
"niezdefiniowane",56968,1628.4161810139,1858514,61,19938,35045,1985,55
