"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1146830,792.074991934288,3318587,61,657452,483495,5883,254
"mezczyzni",833076,717.851576566844,2706469,61,501847,328617,2612,118
"kobiety",257077,816.760810963252,3318587,61,136123,119644,1310,57
"niezdefiniowane",56677,1771.08922490605,2763454,61,19482,35234,1961,79
