"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1460318,1.60259586503815,7135.77904248054,0,533158,537613,389547,8
"mezczyzni",947464,1.56947642219473,7135.77904248054,0,358910,346517,242037,3
"kobiety",314618,1.62548636059566,11.3125679794484,0,109322,116729,88567,1
"niezdefiniowane",198236,1.72456017960705,7135.61937265032,0,64926,74367,58943,4
