"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1557663,1.58426508446506,7135.57177800815,0,576105,566377,415181,10
"mezczyzni",999541,1.55997829130108,7135.57177800815,0,385683,360757,253101,5
"kobiety",339589,1.63663124836774,10.3436672513584,0,118274,124961,96354,3
"niezdefiniowane",218533,1.61397534466548,10.1330958806353,0,72148,80659,65726,2
