"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1977177,1.553246654749,14.3128994668311,0,784413,687994,504770,139
"mezczyzni",1296312,1.52560247391701,14.0891114135989,0,536498,443896,315918,86
"kobiety",475485,1.60785937059701,14.3128994668311,0,176629,169554,129302,24
"niezdefiniowane",205380,1.60129396289827,12.5511572925664,0,71286,74544,59550,29
