"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1913625,1.57555312718995,410.737849846371,0,744775,665912,502938,128
"mezczyzni",1242546,1.54758978342545,410.737849846371,0,504046,427470,311030,72
"kobiety",460279,1.62934818201284,12.7130963504951,0,168228,163571,128480,24
"niezdefiniowane",210800,1.62292033260922,12.5341172972086,0,72501,74871,63428,32
