"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",214624,47,43,214534
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",39659,28229,11221,209
"27-35",466760,327667,138360,733
"36-50",536641,411682,122951,2008
"50<",299979,231916,67014,1049
