"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",203595,55,47,203493
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",35757,25837,9798,122
"27-35",397252,278562,118210,480
"36-50",473621,363171,108736,1714
"50<",269885,208743,60287,855
