"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",195206,39,43,195124
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",32669,23680,8925,64
"27-35",404243,285240,118495,508
"36-50",519541,400597,117220,1724
"50<",308659,237908,69935,816
