"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",791647,1.48366627314707,7134.84125769669,0,322099,292957,176591,8
"mezczyzni",567844,1.4709167340039,7134.84125769669,0,236913,209671,121260,6
"kobiety",171785,1.48714981858008,11.1851267911087,0,67607,64583,39595,2
"niezdefiniowane",52018,1.61133993328396,9.4162957254469,0,17579,18703,15736,0
