"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",726676,1.41692893160378,11.2683465408141,0,306073,271740,148863,10
"mezczyzni",541849,1.4071415590846,11.2683465408141,0,231319,202186,108344,10
"kobiety",152992,1.43123696798306,9.33377697436667,0,62992,57741,32259,0
"niezdefiniowane",31835,1.51475405836381,9.45832226495717,0,11762,11813,8260,0
