"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",812192,1.49482586771877,7136.04897902855,0,345233,302579,164380,10
"mezczyzni",596628,1.50301830192447,7136.04897902855,0,257476,221643,117509,9
"kobiety",173165,1.4225847789692,9.33377697436667,0,72293,64836,36036,0
"niezdefiniowane",42399,1.67458936445317,7134.71088161345,0,15464,16100,10835,1
