"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",4,4,0,0
"19-26",36701,27209,9266,226
"27-35",222215,167807,53434,974
"36-50",260335,206532,52211,1592
"50<",199739,136037,36895,26807
