"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",41,38,3,0
"19-26",50395,37488,12525,382
"27-35",263286,196707,65331,1248
"36-50",296177,234302,60072,1803
"50<",233215,153214,43335,36666
