"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",39445,1,42,39402
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",47676,35243,12104,329
"27-35",273922,202724,70136,1062
"36-50",313854,246498,65359,1997
"50<",215070,167082,47161,827
