"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1146830,1.38579434348956,10.8079870683146,0,514935,403710,228185,22
"mezczyzni",833076,1.36803723894725,10.8079870683146,0,382382,290346,160348,16
"kobiety",257077,1.40893321513587,10.6337568583523,0,111488,92503,53086,4
"niezdefiniowane",56677,1.54184610906422,10.3414138384421,0,21065,20861,14751,2
