"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",955210,1.33795352482734,11.0420790745153,0,440809,339911,174490,23
"mezczyzni",695884,1.32304439811569,10.8189758961305,0,327648,245121,123115,16
"kobiety",212896,1.35460130033845,11.0420790745153,0,95408,77427,40061,5
"niezdefiniowane",46430,1.48507344551216,10.1954976100409,0,17753,17363,11314,2
