"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1731594,1.61876174826732,7135.64565401249,0,645979,615667,469948,20
"mezczyzni",1131930,1.59623141599568,7135.64565401249,0,439046,400062,292822,9
"kobiety",401253,1.64766909277796,11.4407359417806,0,141784,144367,115102,4
"niezdefiniowane",198411,1.68883649362573,7134.09373409253,0,65149,71238,62024,7
