"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1735599,1.58237865994868,11.7003503513725,0,659413,610821,465365,21
"mezczyzni",1099384,1.55217880162241,11.7003503513725,0,437784,382467,279133,9
"kobiety",401021,1.63187156212412,11.2326423208636,0,144277,143486,113258,7
"niezdefiniowane",235194,1.63915539712259,10.9384770097171,0,77352,84868,72974,5
