"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1016505,823.067448758245,3168629,61,570233,440304,5968,276
"mezczyzni",746622,746.6947049511,2667433,61,440367,303451,2804,136
"kobiety",223675,857.53445400693,1777085,61,115458,106953,1264,56
"niezdefiniowane",46208,1890.24549861496,3168629,61,14408,29900,1900,84
