"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",943744,804.773323062186,2403037,61,544054,395051,4639,239
"mezczyzni",703464,729.022215777922,1982217,61,423749,277386,2329,105
"kobiety",203512,852.975244703015,1947736,61,107869,94702,941,49
"niezdefiniowane",36768,1987.28277306353,2403037,61,12436,22963,1369,85
