"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",967287,775.840876596088,2679841,61,572392,390578,4317,225
"mezczyzni",727130,714.167426732496,2377708,61,448052,276862,2216,114
"kobiety",206028,837.145849107888,1792506,61,111835,93266,927,57
"niezdefiniowane",34129,1719.73242696827,2679841,61,12505,20450,1174,54
