"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",39704,23,1,39680
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",29285,21977,7198,110
"27-35",230468,171407,58422,639
"36-50",302532,238793,62373,1366
"50<",210203,164428,45171,604
