"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",49323,20,10,49293
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",32573,23821,8587,165
"27-35",234913,172240,62029,644
"36-50",284800,223930,59492,1378
"50<",190038,147833,41667,538
