"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",29076,12,4,29060
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",23989,18064,5824,101
"27-35",210446,157672,52066,708
"36-50",274431,218306,54729,1396
"50<",188734,147795,40369,570
