"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",889967,1.38954293728921,391.687189898286,0,391441,323834,174692,16
"mezczyzni",651548,1.37858984636499,391.687189898286,0,291194,235610,124744,10
"kobiety",194802,1.41042509686573,10.8434341204941,0,82956,72204,39642,4
"niezdefiniowane",43617,1.45989573632787,11.6008749378013,0,17291,16020,10306,2
