"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",718994,1.37208782607487,11.7896723495379,0,322364,259400,137230,7
"mezczyzni",537589,1.36137877664631,11.7896723495379,0,244390,193197,100002,6
"kobiety",151806,1.38932362642264,10.3428700913033,0,66179,55609,30018,1
"niezdefiniowane",29599,1.47819172369482,9.85394036718389,0,11795,10594,7210,0
