"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1179044,1.48292671568085,8.08576451396022,0,449452,448668,280924,0
"mezczyzni",720727,1.44966777656107,8.08576451396022,0,285856,276608,158263,0
"kobiety",235991,1.53144428823139,7.92798820931368,0,84078,92452,59461,0
"niezdefiniowane",222326,1.53924448756184,7.74283606262882,0,79518,79608,63200,0
