"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",941219,1.4600859827248,8.08576399889132,0,361546,366718,212955,0
"mezczyzni",621591,1.43444989009837,8.08576399889132,0,247182,242810,131599,0
"kobiety",188655,1.4957359775347,7.31159608259976,0,68692,74962,45001,0
"niezdefiniowane",130973,1.53040287766417,7.86621847278884,0,45672,48946,36355,0
