"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1085676,1.46738915813395,7.91946997642686,0,414377,420632,250667,0
"mezczyzni",687255,1.43914543448551,7.82042472070533,0,271689,268118,147448,0
"kobiety",217011,1.51132537434028,7.27518872005701,0,77965,86029,53017,0
"niezdefiniowane",181410,1.52182936584496,7.91946997642686,0,64723,66485,50202,0
