"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",943744,1.38027871675749,11.6558731826314,0,426456,331785,185503,26
"mezczyzni",703464,1.36705907924363,11.6558731826314,0,323746,244682,135036,16
"kobiety",203512,1.40396413634401,11.009625755105,0,88505,73835,41172,5
"niezdefiniowane",36768,1.50210399888199,10.8436833913174,0,14205,13268,9295,5
