"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",1016505,1.37352199180984,12.4233523210873,0,458432,361233,196840,24
"mezczyzni",746622,1.36008808346085,12.4233523210873,0,342814,262717,141091,20
"kobiety",223675,1.39442157777347,10.3923369773377,0,97486,81837,44352,2
"niezdefiniowane",46208,1.48941830043449,10.4800038315382,0,18132,16679,11397,2
