"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",967287,1.34835492126103,12.40468363769,0,448149,338969,180169,10
"mezczyzni",727130,1.33721254088268,11.10668230923,0,341851,252704,132575,6
"kobiety",206028,1.37359391228101,11.08100663909,0,92113,74280,39635,2
"niezdefiniowane",34129,1.43338583932617,12.40468363769,0,14185,11985,7959,2
