"","Najpopularniejsza stacja poczatkowa","Najpopularniejsza stacja koncowa dla odpowiednich stacji poczatkowych","Najpopularniejsza stacja koncowa","Najpopularniejsza stacja poczatkowa dla odpowiednich stacji koncowych"
"1",745,726,748,763
"2",677,741,657,720
"3",237,698,680,699
