"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1460318,989.758036948117,3129291,61,640930,804036,15352,335
"mezczyzni",947464,795.579261058995,2167999,61,480982,463652,2830,88
"kobiety",314618,933.539336592312,1595961,61,130794,182293,1531,44
"niezdefiniowane",198236,2007.05466716439,3129291,61,29154,158091,10991,203
