"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1557663,980.285740882335,3966943,61,683610,858853,15200,247
"mezczyzni",999541,799.707093555942,3565469,61,510211,486251,3079,83
"kobiety",339589,954.126320346065,2497264,61,141317,196648,1624,40
"niezdefiniowane",218533,1846.87894734434,3966943,61,32082,175954,10497,124
