"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1380110,1000.32785937353,6707533,61,609250,756339,14521,264
"mezczyzni",876368,800.424487201723,5700729,61,451527,422102,2739,82
"kobiety",297078,913.218908838756,1030505,61,126827,168990,1261,41
"niezdefiniowane",206664,1973.24559671738,6707533,61,30896,165247,10521,141
