"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1816498,1156.78782470446,4509256,61,808547,987201,20750,696
"mezczyzni",1162011,998.72167991525,4367202,61,594520,561719,5772,372
"kobiety",422385,1170.99937734531,3862405,61,175913,243428,3044,183
"niezdefiniowane",232102,1922.27822250562,4509256,61,38114,182054,11934,141
