"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1735599,1060.14335972768,2477222,61,767830,945057,22712,517
"mezczyzni",1099384,901.685699446235,2045674,61,562594,530831,5959,275
"kobiety",401021,1017.3720927333,1921915,61,167422,230458,3141,86
"niezdefiniowane",235194,1873.76102281521,2477222,61,37814,183768,13612,156
