"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1731594,1072.82654825554,4182314,61,781432,931179,18983,498
"mezczyzni",1131930,929.261206081648,3765047,61,579170,547193,5567,264
"kobiety",401253,1026.17660179488,3050849,61,167589,230858,2806,88
"niezdefiniowane",198411,1986.20508439552,4182314,61,34673,153128,10610,146
