"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",829,535,291,3
"19-26",158339,109459,47980,900
"27-35",690132,480998,204519,4615
"36-50",599873,453887,141492,4494
"50<",528004,251433,81203,195368
