"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",587,477,106,4
"19-26",133201,91080,41081,1040
"27-35",647592,452392,191562,3638
"36-50",620010,468188,147687,4135
"50<",551713,269771,89108,192834
