"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",843,619,224,0
"19-26",147558,100730,45851,977
"27-35",648422,451922,192607,3893
"36-50",584375,439760,140339,4276
"50<",532427,249515,81258,201654
