"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",3173,2691,469,13
"19-26",141888,104270,36294,1324
"27-35",398287,294480,99455,4352
"36-50",391400,302809,84542,4049
"50<",305848,200272,58346,47230
