"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",2354,1950,382,22
"19-26",107794,80310,26519,965
"27-35",298289,222534,72547,3208
"36-50",299847,231431,65502,2914
"50<",246926,159659,47946,39321
