"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",0,0,0,0
"<13",0,0,0,0
"13-18",3034,2587,441,6
"19-26",144129,106529,36348,1252
"27-35",369742,274015,91525,4202
"36-50",350579,272076,75068,3435
"50<",279346,177869,53695,47782
