"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1913625,1074.54403239924,4829587,61,874503,1014253,24869,555
"mezczyzni",1242546,883.355621441782,4829587,61,642278,592895,7373,204
"kobiety",460279,1049.73223197235,3626468,61,192757,262466,5056,110
"niezdefiniowane",210800,2255.66711574953,4663730,61,39468,158892,12440,241
