"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1953103,1211.31957966375,7571338,61,885254,1044722,23127,837
"mezczyzni",1281908,1006.4134368457,6432952,61,651092,623785,7031,395
"kobiety",469544,1228.49913107185,6655679,61,195712,269051,4781,180
"niezdefiniowane",201651,2473.9181705025,7571338,61,38450,151886,11315,262
