"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1977177,1012.00133017934,3095079,61,926014,1028499,22664,515
"mezczyzni",1296312,866.890777837434,3076381,61,681335,607765,7212,238
"kobiety",475485,1005.56771927611,2276449,61,204824,266146,4515,95
"niezdefiniowane",205380,1942.80099814977,3095079,61,39855,154588,10937,182
