"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1179044,1017.47866746279,2842280,60,510226,649995,18823,221
"mezczyzni",720727,784.118510892474,2453796,60,377796,340303,2628,75
"kobiety",235991,946.444148293791,2041702,60,97753,136928,1310,42
"niezdefiniowane",222326,1849.37629876848,2842280,60,34677,172764,14885,104
