"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",941219,904.602783199234,1691873,60,432141,497939,11139,109
"mezczyzni",621591,743.427240741903,707490,60,329498,290353,1740,39
"kobiety",188655,880.488240438896,590018,60,80487,107364,804,29
"niezdefiniowane",130973,1704.26833011384,1691873,60,22156,100222,8595,41
