"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",1085676,967.670092182198,5174309,60,480050,589923,15703,131
"mezczyzni",687255,762.465323642607,3611666,60,360165,324894,2196,44
"kobiety",217011,907.757233504292,1547625,60,90516,125413,1082,24
"niezdefiniowane",181410,1816.73989305992,5174309,60,29369,139616,12425,63
