"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",509478,1.37559734612925,7134.76005594853,0,221183,193333,94962,1
"mezczyzni",379314,1.36860694338956,7134.76005594853,0,167751,142950,68613,1
"kobiety",104457,1.37107532926653,8.79416105359692,0,44145,40591,19721,0
"niezdefiniowane",25707,1.49711731890826,7.92715881379577,0,9287,9792,6628,0
