"","suma","srednia","maksimum","minimum","<1km","1-2km","2km<","10km<"
"wszyscy",560874,1.46150188088911,7135.43776226443,0,239007,212697,109170,6
"mezczyzni",417216,1.38545544073608,7135.2632233718,0,181986,157011,78219,1
"kobiety",112587,1.52640728257146,7135.43776226443,0,46248,44153,22186,2
"niezdefiniowane",31071,2.24745299658144,7135.10937886739,0,10773,11533,8765,3
