"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",192432,6,4,192422
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",71990,50410,20999,581
"27-35",538880,375708,161868,1304
"36-50",586168,447610,135597,2961
"50<",342124,258196,82785,1143
