"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",228596,7,4,228585
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",81990,57566,23608,816
"27-35",558864,386738,170538,1588
"36-50",557978,423183,131785,3010
"50<",308171,231890,75086,1195
