"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",224716,19,0,224697
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",86819,60309,25780,730
"27-35",601372,416006,183294,2072
"36-50",584448,444348,136729,3371
"50<",319143,241329,76582,1232
