"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",130392,11,0,130381
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",11843,8998,2784,61
"27-35",220913,159694,61102,117
"36-50",353603,275768,77564,271
"50<",224468,177120,47205,143
