"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",221001,5,0,220996
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",14101,10032,4035,34
"27-35",288611,203694,84634,283
"36-50",417065,320336,96063,666
"50<",238266,186660,51259,347
