"wiek","liczba","mezczyzni","kobiety","niezdefiniowane"
"Brak",180365,3,0,180362
"<13",0,0,0,0
"13-18",0,0,0,0
"19-26",13681,9889,3731,61
"27-35",256843,183495,73177,171
"36-50",396157,306414,89223,520
"50<",238630,187454,50880,296
