"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",2125370,1109.35887586632,3379585,61,930328,1169629,25413,734
"mezczyzni",1399108,923.704984890373,2843331,61,684921,705043,9144,270
"kobiety",527577,1101.60879075471,3379585,61,206789,314703,6085,136
"niezdefiniowane",198685,2437.28303092835,3245687,61,38618,149883,10184,328
