"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",2181064,1035.35972809601,2621244,61,991684,1164528,24852,669
"mezczyzni",1441107,867.129662127795,2593675,61,728693,703600,8814,236
"kobiety",543928,1047.92576039476,2410359,61,221617,316405,5906,122
"niezdefiniowane",196029,2237.23551617363,2621244,61,41374,144523,10132,311
