"","suma","srednia","maksimum","minimum","<10m","10m-1h","1h<","24h<"
"wszyscy",2344224,1050.17290455178,3812666,61,1040958,1275706,27560,588
"mezczyzni",1530272,872.354956504465,2456383,61,762021,758599,9652,191
"kobiety",588431,1063.84602952598,3812666,61,233944,347858,6629,102
"niezdefiniowane",225521,2221.07998811641,2704549,61,44993,169249,11279,295
